Time,Source,Destination,Size
1738653960.889315,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653960.9283483,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653960.9522204,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653960.9526267,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653961.497947,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,55
1738653961.5460553,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,66
1738653961.6870866,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,55
1738653961.9214306,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653961.922026,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,85
1738653961.9688847,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653962.5947318,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,55
1738653962.6183672,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,66
1738653963.5365338,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,81
1738653963.5831382,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653963.851743,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,160
1738653963.8522506,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,93
1738653963.8541493,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,503
1738653964.0966597,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,55
1738653964.1503959,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,66
1738653964.1540253,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653964.1545718,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653964.1548822,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653964.1552927,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,93
1738653964.1806765,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,692
1738653964.1811326,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,85
1738653964.228336,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653964.2288287,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,89
1738653964.4576187,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,55
1738653964.4993973,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,66
1738653964.5232873,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653964.865351,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,97
1738653964.886809,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653965.005593,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,94
1738653965.0521243,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653965.1947362,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,55
1738653965.2722578,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,55
1738653965.3662388,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,66
1738653965.366975,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,66
1738653965.457515,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,55
1738653965.7037678,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,66
1738653966.1895156,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,55
1738653966.233909,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,66
1738653966.4374275,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,55
1738653966.4667468,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,66
1738653966.5297172,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,55
1738653966.548939,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,66
1738653968.9022295,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,133
1738653968.9026566,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,93
1738653968.9031563,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,813
1738653968.9210854,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653968.9221244,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653968.922503,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653968.9229205,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,93
1738653968.9681334,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653969.0559108,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,137
1738653969.0570621,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,93
1738653969.0932653,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653969.6129515,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,55
1738653969.6330442,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,66
1738653970.3148074,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,55
1738653970.3382437,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,66
1738653970.4339962,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,111
1738653970.4858494,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653970.7583857,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,515
1738653970.7589207,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,176
1738653970.7593396,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,85
1738653970.7596955,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653970.7601008,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,89
1738653970.811553,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653973.4028344,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,55
1738653973.4316952,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,66
1738653974.1700642,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,247
1738653974.1710162,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,89
1738653974.171902,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,89
1738653974.2157536,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653974.2164104,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653974.5677834,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,101
1738653974.5727146,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,308
1738653974.573192,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,66
1738653974.8554718,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,66
1738653974.8558843,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653974.8563662,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,571
1738653974.861482,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653975.1312635,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,153
1738653975.1324818,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,500
1738653975.4054418,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,1514
1738653975.406194,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,82
1738653975.4069057,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,1514
1738653975.4077063,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,1514
1738653975.4081318,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,66
1738653975.4084892,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,66
1738653975.4088664,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653975.4095895,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,352
1738653975.5134537,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,82
1738653975.536163,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653975.6662579,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,157
1738653975.6667302,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,403
1738653975.667695,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,81
1738653975.668446,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653975.6690173,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653975.6694975,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,78
1738653975.669815,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653975.9246726,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653975.9822218,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,55
1738653976.0373976,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,66
